Location,Name,Rating,Address,Phone Number,Num Reviews,Num Photos,Price Range Per Person (CAD),Cuisine Type 1,Cuisine Type 2,Cuisine Type 3,Cuisine Type 4,Cuisine Type 5,Cuisine Type 6,Cuisine Type 7,Cuisine Type 8
Cariboo & Lougheed,Jejudo,3.0,"North Road Centre, 220-4501 North Road, Burnaby V3N4J5",+16045583088,31,54,22.5,Sushi,Japanese,Korean,Asian,,,,
Cariboo & Lougheed,Days Thai,3.5,"7245 Canada Way, Burnaby V5E4A6",+16045207383,45,19,15.0,Thai,Asian,,,,,,
Cariboo & Lougheed,Hanok Korean Restaurant,3.2,"9928 Lougheed Highway, Burnaby V3N4N4",+16044208884,25,24,25.0,Korean,Asian,,,,,,
Cariboo & Lougheed,Menchies Frozen Yogurt,3.7,"High Gate Village, 138-7155 Kingsway, Burnaby V5E0A6",+16045532811,40,28,7.5,Frozen Yogurt,Desserts,,,,,,
Cariboo & Lougheed,Twisted Taphouse and Kitchen,2.8,"7557 Edmonds Street, Burnaby V3N1B5",+16045241119,28,8,32.5,Bar Food,,,,,,,
Cariboo & Lougheed,Y Sushi,3.4,"7341 Edmonds Street, Burnaby",+16045533339,21,29,15.0,Sushi,,,,,,,
Coquitlam,H-Mart Food Square,3.1,"Hanin Village, 100-329 North Road, Burnaby V3K6Z8",+16049390159,14,42,10.0,Korean,,,,,,,
Cariboo & Lougheed,Sushi Modo,3.5,"7874 Edmonds Street, Burnaby, BC, Burnaby",+16045530142,17,27,,Japanese,Sushi,,,,,,
Cariboo & Lougheed,Juillet cafe,3.3,"4341 North Road, Metro Vancouver, Burnaby V3N 4N4",+17783793312,7,15,,Cafe,Desserts,Korean,,,,,
Cariboo & Lougheed,Waves Coffee,3.3,"7328 Edmonds Street, Burnaby V3N1A9",+16045249283,19,24,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Freshslice Pizza,2.6,"7155 Kingsway, Unit # 222, Burnaby, Burnaby V5E1E9",+16045445000,17,19,10.0,Pizza,Fast Food,,,,,,
Cariboo & Lougheed,Pho Edmonds,3.2,"7487 Edmonds Street, Unit G-H, Vancouver, Burnaby V3N 1B3",+16045538898,6,16,12.5,Vietnamese,,,,,,,
Cariboo & Lougheed,Burger King,2.7,"Cru 145 7155 Kingsway, Burnaby V5E1E9",+16045334849,11,47,10.0,Burger,Fast Food,,,,,,
Cariboo & Lougheed,Tim Hortons,3.2,"101-955 Austin Avenue, Burnaby V3J 0A2",+16044202027,14,17,10.0,Fast Food,Cafe,,,,,,
Cariboo & Lougheed,Pizza Factory,3.2,"7898 6th Street, Burnaby V3N2N3",+16045404444,9,2,12.5,Pizza,Fast Food,,,,,,
Cariboo & Lougheed,McDonald's,3.2,"Inside Walmart, 9855 Austin Avenue, Burnaby V3J 0A2",+16047181140,11,9,10.0,Fast Food,,,,,,,
Cariboo & Lougheed,Subway,3.4,"3294 Production Way, Burnaby V5A 4R4",+16044207489,10,11,12.5,Fast Food,,,,,,,
Cariboo & Lougheed,Hi Five 24,3.1,"8669 10th Avenue, Burnaby, BC V3N 2S9, Burnaby",+16045409255,8,5,7.5,American,Fast Food,,,,,,
Cariboo & Lougheed,Arwaz Hookah Lounge,3.4,"7751 6th Street, Burnaby V3N4S3",+17788853247,6,1,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Pho Japolo,3.4,"3355 North Road, Unit 218, Burnaby V5V 1A2",+16044208978,5,22,12.5,Japanese,Sushi,,,,,,
Cariboo & Lougheed,The Pantry,3.6,"Best Western Country Inn & Suites, 319 North Road, Burnaby V3K 3V8",+16049316689,9,11,20.0,American,,,,,,,
Cariboo & Lougheed,Sulbing Dessert Cafe,,"4501 North Road, #202 A, Burnaby, British Columbia, Metro Vancouver, Burnaby",+16044215559,3,2,15.0,Desserts,Korean,,,,,,
Cariboo & Lougheed,Busan Daeji Gukbap,,"4501 North Rd #201, Cariboo & Lougheed, Burnaby, Burnaby",+16044234778,2,4,15.0,Korean,,,,,,,
Cariboo & Lougheed,Starbucks,2.8,"Lougheed Town Centre, Second Level, 9855 Austin Avenue, Burnaby V3J0B4",+16044155336,7,15,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Little Cockatoo Cafe,,"7548 Edmonds Street, Burnaby V3N1B5",+16045401715,3,2,22.5,Mediterranean,,,,,,,
Cariboo & Lougheed,Na-Re Korean,,"7413 Edmonds Street, Burnaby",+1(604)5227009,1,8,15.0,Korean,,,,,,,
Cariboo & Lougheed,Grano Pizza,,"7239 Kingsway, Burnaby, BC V5E 1G5, Canada, Burnaby",+16045203535,1,0,,Pizza,,,,,,,
Cariboo & Lougheed,Sushia,,"3292 Production Way, Burnaby, BC V5A 4R4, Burnaby",+16044201688,1,0,17.5,Japanese,Sushi,,,,,,
Cariboo & Lougheed,Tim Hortons,,"7880 6th Street, Burnaby",+16045532220,1,1,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Quick Bite,,"7619 Edmonds Street, Burnaby",+17783977770,0,2,,Pizza,Fast Food,,,,,,
Cariboo & Lougheed,NAO Sushi,4.2,"7060 Kingsway, Burnaby V5E 1E5",+16045213131,447,270,15.0,Sushi,Japanese,Asian,,,,,
Cariboo & Lougheed,Anatolia's Gate,4.3,"7084 Kingsway, Burnaby V5E 1E5",+16045252519,244,108,22.5,Turkish,Mediterranean,,,,,,
Cariboo & Lougheed,Paradise Vegetarian Noodle House,3.9,"8681 10th Avenue, Burnaby V3N 2S9",+16045278138,79,51,15.0,Vietnamese,,,,,,,
Cariboo & Lougheed,Lost In The 50's,3.8,"7741 Edmonds Street, Burnaby V5E 3R9",+16045531950,72,48,10.0,Burger,Diner,,,,,,
Cariboo & Lougheed,Myung Dong Kal Guk Soo,3.9,"North Road Centre, Korea Plaza, 4501 North Road, Burnaby V3K 3V8",+16044206447,52,57,10.0,Fast Food,Korean,Asian,,,,,
Cariboo & Lougheed,Golden Pita Lebanese Restaurant,4.2,"9630 Cameron Street, Burnaby V3J 7Y5",+16044445855,58,33,15.0,Mediterranean,Middle Eastern,,,,,,
Cariboo & Lougheed,New Lakeview Restaurant,3.9,"7765 6th Street, Burnaby V3N 2K8",+16045218917,81,39,22.5,Chinese,Asian,,,,,,
Cariboo & Lougheed,El Comal,3.6,"7650 Winston Street, Burnaby V5A2G1",+16044201327,35,42,12.5,Mexican,,,,,,,
Cariboo & Lougheed,Desi Turka Indian Cuisine,3.7,"7807 6th Street, Burnaby V3N 3N1",+16045534511,35,35,17.5,Indian,,,,,,,
Cariboo & Lougheed,Fresh Box Sushi,3.8,"High Gate Village, Level 2, 221-7155 Kingsway, Burnaby V5E1E9",+16045408646,46,14,12.5,Sushi,Japanese,,,,,,
Cariboo & Lougheed,Canadian Pizza Plus,3.9,"34-8650 Cinnamon Drive, Burnaby V5A4H7",+16044200008,37,12,15.0,Pizza,Indian,,,,,,
Cariboo & Lougheed,L.A. Sushi,3.6,"Crest Shopping Centre, 8671 10th Avenue, Burnaby V3N",+16047779555,33,20,10.0,Sushi,Japanese,Asian,,,,,
Cariboo & Lougheed,IHOP,3.7,"9855 Austin Ave 173, Burnaby V3J 0A2",+16044440201,46,23,12.5,American,,,,,,,
Cariboo & Lougheed,Baba Sweets & Restaurant,3.4,"7561 6th Street, Burnaby V3N3M4",+16045225211,33,3,15.0,Indian,Fast Food,,,,,,
Cariboo & Lougheed,Caritas9 Coffee Roasters,3.7,"7655 Edmonds Street,  Unit 104, Burnaby V3N 0C3",+16045530316,10,15,5.0,Coffee and Tea,Desserts,,,,,,
Cariboo & Lougheed,Cora Breakfast and Lunch,3.0,"7155 Kingsway, Unit 142, Burnaby V5E 2V1",+16045533222,16,23,15.0,American,,,,,,,
Cariboo & Lougheed,Sharetea,3.1,"435Q North Road, Coquitlam, Burnaby V3K 3V9",+17783559922,16,18,7.5,Cafe,Bubble Tea,Coffee and Tea,,,,,
Cariboo & Lougheed,Ricky's All Day Grill,3.0,"116-1090 Lougheed Highway, Burnaby V3K",+16045533828,18,17,25.0,Grill,Bar Food,,,,,,
Cariboo & Lougheed,Thai Express,3.3,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0A2",+16044220001,22,12,10.0,Fast Food,Thai,Asian,,,,,
Cariboo & Lougheed,Dageraad Brewing,3.4,"114-3191 Thunderbird Crescent, Burnaby",+16044202050,10,13,12.5,Finger Food,,,,,,,
Cariboo & Lougheed,Adria Gelato,3.8,"High Gate Village, Level 2, 224-7155 Kingsway, Burnaby V5E1E9",+16045151200,13,18,10.0,Desserts,Middle Eastern,,,,,,
Cariboo & Lougheed,Sushi Kaku,2.8,"3292 Production Way, Burnaby V5A4R4",+16044201688,17,6,15.0,Sushi,Japanese,,,,,,
Cariboo & Lougheed,Anna's Cake House,2.6,"Second Level, 9855 Austin Road, Burnaby V3J 0A2",+16044443332,18,10,7.5,Desserts,Bakery,Chinese,,,,,
Cariboo & Lougheed,Sushi Q Tea Cafe,3.2,"7255 Canada Way, Burnaby V5E4A6",+16045255678,9,11,12.5,Sushi,Japanese,Asian,Bubble Tea,,,,
Cariboo & Lougheed,Mulligan's House & Bistro,3.6,"7600 Halifax Street, Burnaby V5A4H2",+16044218355,15,3,25.0,Bar Food,,,,,,,
Cariboo & Lougheed,Sashimi Sushi,2.9,"Ground Level, 9855 Austin Avenue, Burnaby V3J 0B4",+16044206789,15,4,12.5,Sushi,Japanese,Asian,,,,,
Cariboo & Lougheed,Veroni & Co.,3.5,"219-4501 North Road, Metro Vancouver, Burnaby V3N4R7 4R7",Not available for this place,8,12,7.5,Cafe,Coffee and Tea,,,,,,
Cariboo & Lougheed,Raw Cuts Sandwich Shop,3.2,"101-7885 6th Street, Burnaby V3N",+17783971071,9,6,10.0,Canadian,Bubble Tea,Cafe,,,,,
Cariboo & Lougheed,Chop n Toss,3.5,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0A2",+16044220980,13,1,12.5,Healthy Food,,,,,,,
Cariboo & Lougheed,Aria Kabab House & Grill,3.1,"7405 Edmonds Street, Burnaby V3N 1B1",+16045490900,6,15,12.5,Afghan,,,,,,,
Cariboo & Lougheed,Fraserview Meat & Tandoori House,3.5,"7747 6th Street, Burnaby V3N3M7",+16045229006,9,1,15.0,Indian,,,,,,,
Cariboo & Lougheed,Manny&#039;s Grill and Silog House,3.1,"7660 6th Street, Burnaby, British Columbia, Cariboo & Lougheed, Burnaby, Burnaby",+16045539249,5,11,10.0,Filipino,BBQ,,,,,,
Cariboo & Lougheed,Season's Apple Cafe,3.3,"Crest Shopping Centre, 4-8699 10th Avenue, Burnaby V3N",+16045200155,8,6,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Hiel Cafe,,"7885 6th Street, Burnaby, Metro Vancouver, Burnaby",+16045440675,2,7,20.0,Cafe,,,,,,,
Cariboo & Lougheed,Vannian Cafe,3.1,"9755 Lougheed Highway, Burnaby V3J1M5",+16044227008,8,0,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Manchu Wok,2.8,"Food Court, 9855 Austin Avenue, Burnaby V3J 0A2",+16044201628,13,8,10.0,Fast Food,Chinese,Asian,,,,,
Cariboo & Lougheed,The Pie Hole,3.5,"7832 6th Street, Burnaby V3N 3N2",+16045537437‬,4,16,5.0,Bakery,,,,,,,
Cariboo & Lougheed,Taco Time,2.5,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0B4",+16044200212,6,5,10.0,Fast Food,Mexican,,,,,,
Cariboo & Lougheed,Jimmy the Greek,3.1,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0A2",+16045692771,7,3,10.0,Greek,Fast Food,,,,,,
Cariboo & Lougheed,Sandwich Tree,3.2,"8662 Commerce Court, Burnaby V5A4N7",+16044210407,6,1,12.5,Cafe,,,,,,,
Cariboo & Lougheed,Agra Sweets And Restaurant,3.3,"7585 6th Street, Burnaby",+16045267879,5,2,12.5,Indian,,,,,,,
Cariboo & Lougheed,Orange Julius,3.8,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0B4",+16044210952,6,2,7.5,Fast Food,Juices,Beverages,,,,,
Cariboo & Lougheed,A&W,3.2,"Lougheed Town Centre, Food Court, 9855 Austin Avenue, Burnaby V3J0B4",+16044204912,6,7,10.0,Fast Food,,,,,,,
Cariboo & Lougheed,Jugo Juice,2.8,"Lougheed Town Centre, Second Level, 9855 Austin Avenue, Burnaby V3J",+16045682007,6,24,10.0,Juices,Beverages,Fast Food,,,,,
Cariboo & Lougheed,New York Fries,2.9,"9855 Austin Ave Unit 709, Burnaby V3J 0A2",+16044206502,6,7,7.5,Fast Food,American,,,,,,
Cariboo & Lougheed,Caffe Artigiano,,"104-2999 Underhill Avenue, Burnaby V5A3C2",+16044204447,2,11,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Seattle's Best Coffee Bar,,"3292 Production Way, Burnaby V5A4R4",+16044203161,3,0,7.5,Cafe,,,,,,,
Cariboo & Lougheed,Quiznos,,"Food Court, 9855 Austin Avenue, Burnaby V3J 0A2",+16044205166,2,6,12.5,Fast Food,Sandwich,,,,,,
Cariboo & Lougheed,Mr. Greek Donair Shop,,"7155 Arcola Way Burnaby, BC V5E 0A6, Burnaby",+16045539255,1,0,7.5,Greek,Kebab,,,,,,
Cariboo & Lougheed,Chef's Catering & Cafe,,"4191 McConnell Drive, Burnaby V5A3A7",+16044206434,0,3,10.0,Cafe,,,,,,,
Cariboo & Lougheed,Al Gusto Latinos,,"7868 Edmonds Street, Burnaby",+17783971102,0,1,7.5,Latin American,,,,,,,
Cariboo & Lougheed,Cafe Espoir,,"North Road Centre, Korea Plaza, 4501 North Road, Burnaby",Not available for this place,0,2,5.0,Cafe,,,,,,,
Central Burnaby,Sushi Garden,4.2,"4635 Kingsway, Burnaby V5H 2B3",+16044360104,761,274,12.5,Sushi,Japanese,Asian,,,,,
Central Burnaby,Sushi Oyama,4.1,"5152 Kingsway, Burnaby V5H 2E8",+16045681012,478,398,17.5,Sushi,Japanese,Asian,,,,,
Central Burnaby,Sushi S Japanese Restaurant,4.2,"4739 Willingdon Avenue, Burnaby V5G 3H5",+16044379399,201,248,12.5,Sushi,Japanese,Asian,,,,,
Central Burnaby,Fondway Cafe,3.6,"4462 Beresford Street, Burnaby, Burnaby V5H 2Y8",+16042836997,92,283,7.5,Cafe,Sandwich,,,,,,
Central Burnaby,Saffron Indian Cuisine,4.2,"4300 Kingsway, Burnaby V5H 1Z5",+16044365000,333,80,22.5,Indian,,,,,,,
Central Burnaby,Cattle Cafe,3.8,"4877 Kingsway, Burnaby V5H 4T2",+16044308686,292,194,15.0,Chinese,Asian,,,,,,
Central Burnaby,Grand Dynasty Seafood Restaurant - Grand Villa Casino,3.9,"Grand Villa Casino, 4331 Dominion Street, Burnaby V5G 3E3",+16044326002,163,388,27.5,Dim Sum,Chinese,Asian,Seafood,,,,
Central Burnaby,Bubble World,4.0,"4300 Kingsway, Burnaby V5H 1Z5",+16044345551,250,190,15.0,Bubble Tea,Beverages,Asian,,,,,
Central Burnaby,Morak Korean Fusion Restaurant,3.8,"6285 Nelson Avenue, Burnaby V5H 4T5",+16044378839,137,171,20.0,Korean,Asian Fusion,Asian,,,,,
Central Burnaby,Bow Bow Cafe,4.0,"4611 Kingsway, Burnaby V5H 4L3",+16044355777,126,120,12.5,Taiwanese,,,,,,,
Central Burnaby,Little Sheep Mongolian Hot Pot,3.8,"Second Floor, 4755 Kingsway, Burnaby V5H 4W2",+16044340001,154,272,20.0,Mongolian,Asian,,,,,,
Central Burnaby,Boiling Point,3.6,"5276 Kingsway, Burnaby V5H 2E9",+16046209737,176,205,20.0,Taiwanese,Asian,,,,,,
Central Burnaby,The Keg,4.2,"4510 Still Creek Avenue, Burnaby V5C 0B5",+16042944626,197,169,45.0,Steak,Seafood,,,,,,
Central Burnaby,Tairyou Ichiba,3.8,"4300 Kingsway, Burnaby V5H 1Z9",+16044513331,131,154,12.5,Sushi,Japanese,Asian,,,,,
Central Burnaby,Green Basil,3.8,"4623 Kingsway, Burnaby V5H 4L3",+16044391919,250,105,17.5,Thai,Asian,,,,,,
Central Burnaby,Hart House Restaurant,3.9,"6664 Deer Lake Avenue, Burnaby V5E 2T2",+16042984278,174,114,30.0,Canadian,,,,,,,
Central Burnaby,Jin Jiang Shanghai Restaurant,3.8,"5411 Kingsway, Burnaby V5H 2G1",+16046206755,139,187,15.0,Chinese,Asian,,,,,,
Central Burnaby,Kiku Sushi,3.6,"4986 Kingsway, Burnaby V5H 4H2",+16044346020,104,245,15.0,Sushi,Japanese,,,,,,
Central Burnaby,Han Ju Tofu Hot Pot,3.7,"Crystal Mall, 4500 Kingsway, Burnaby V5H 2B1",+16044348098,190,52,12.5,Korean,Asian,,,,,,
Central Burnaby,Jang Mo Jib,3.3,"5075 Kingsway, Burnaby V5H 2E6",+16044390712,166,130,22.5,Korean,,,,,,,
Central Burnaby,Ha Cafe,4.0,"Old Orchard Centre, 28-4429 Kingsway, Burnaby, Burnaby V5H 2A1",+16044384818,100,79,10.0,Vietnamese,,,,,,,
Central Burnaby,El Inka Deli,4.1,"3826 Sunset Street, Burnaby V5G",+16044344545,74,59,22.5,Peruvian,Colombian,Latin American,,,,,
Central Burnaby,Ramie's Greek Restaurant,4.0,"4287 Kingsway, Burnaby V5H 4R9",+16044540199,100,70,30.0,Greek,Mediterranean,,,,,,
Central Burnaby,Tai Won Chinese Restaurant,3.8,"4727 Kingsway, Burnaby V5H 2C3",+16044373399,85,84,20.0,Chinese,Korean,Asian,,,,,
Central Burnaby,Burnaby Palace Restaurant,3.9,"3110 Boundary Road, Burnaby V5M 4A2",+16044371818,129,59,17.5,Chinese,Asian,,,,,,
Central Burnaby,Shanghai Dimsum House,4.0,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16049096688,98,62,10.0,Chinese,Asian,,,,,,
Central Burnaby,S&W Pepper House,4.0,"Crystal Mall, 1812-4500 Kingsway, Burnaby V5H 2A9",+16044513916,96,71,17.5,Chinese,Asian,,,,,,
Central Burnaby,Abdul's BBQ,3.7,"Crystal Mall, 1691-4500 Kingsway, Burnaby V5H 2B1",+16044319498,109,38,10.0,Syrian,Middle Eastern,,,,,,
Central Burnaby,Green Bamboo Vietnamese Cuisine,3.8,"Crystall Mall, 1230-4500 Kingsway, Burnaby V5H 2B1",+16044303433,89,70,12.5,Vietnamese,Asian,,,,,,
Central Burnaby,Minoas Greek Taverna,2.8,"3823 Kingsway, Burnaby V5H 3Y7",+16044302545,89,97,27.5,Greek,Mediterranean,,,,,,
Central Burnaby,Chongqing Restaurant,3.8,"4909 Kingsway, Burnaby V5H 2E5",+16045580101,82,71,17.5,Chinese,Asian,,,,,,
Central Burnaby,Reflect social dining + lounge,3.8,"Hilton Vancouver, 6083 McKay Avenue, Burnaby V5H 2W7",+16044381200,40,129,42.5,Pacific Northwest,European,Asian,,,,,
Central Burnaby,Pearl Castle Cafe,2.9,"Old Orchard Centre, 14-4429 Kingsway, Burnaby V5H 2A1",+16045597929,90,93,17.5,Taiwanese,Asian,Bubble Tea,,,,,
Central Burnaby,On On Wonton House,4.0,"5640 Kingsway, Central Burnaby, Burnaby, Burnaby V5H 2G5",+16044374000,108,37,20.0,Chinese,Asian,,,,,,
Central Burnaby,Agra Tandoori Restaurant,3.8,"110-3790 Canada Way, Burnaby V5G 1G5",+16044301600,73,60,22.5,Indian,,,,,,,
Central Burnaby,Kita Sushi,3.4,"4152 Dawson Street, Burnaby V5C4B3",+16042996994,53,104,15.0,Sushi,Japanese,Asian,,,,,
Central Burnaby,Cherry Fruit Tea & Icy Bar,4.0,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16047792928,63,19,10.0,Beverages,Desserts,Asian,,,,,
Central Burnaby,Earls,3.3,"3850 Lougheed Highway, Burnaby V5C 6N4",+16042055025,97,58,35.0,Canadian,,,,,,,
Central Burnaby,Pho 24 Express,3.9,"4250 Kingsway, Burnaby V5H 1Z5",+16045689185,81,25,12.5,Vietnamese,Cambodian,Asian,,,,,
Central Burnaby,Personas - Grand Villa Casino,3.0,"Grand Villa Casino, 4331 Dominion Street, Burnaby V5G 1B2",+16044530811,27,125,37.5,Bar Food,,,,,,,
Central Burnaby,James Street Cafe & Grill,3.5,"3819 Canada Way, Burnaby V5G 1G6",+16046761876,72,42,20.0,Indian,,,,,,,
Central Burnaby,Chipotle Mexican Grill,3.7,"Metropolis at Metrotown, Upper Level, 2200-4700 Kingsway, Burnaby V5H 4M1",+16044384444,62,35,15.0,Mexican,Fast Food,,,,,,
Central Burnaby,IHOP,3.3,"5137 Kingsway, Burnaby V5H 2E6",+16044515557,65,77,12.5,American,,,,,,,
Central Burnaby,Swiss Chalet,3.0,"3860 Lougheed Highway, Burnaby V5C 6N4",+16042991761,71,72,25.0,Canadian,,,,,,,
Central Burnaby,Yaguchiya Ramen,3.3,"4679 Kingsway, Burnaby, Burnaby V5H 2B3",+16046204679,36,50,12.5,Ramen,Japanese,,,,,,
Central Burnaby,Sugar Lab,3.4,"5376 Grimmer Street, Burnaby V5H 2H2",+16044519149,26,41,,Desserts,,,,,,,
Central Burnaby,Nando's,3.6,"4334 Kingsway, Metrotown, Central Burnaby, Burnaby, Burnaby V5H 2A5",+16044346220,55,61,12.5,Portuguese,African,,,,,,
Central Burnaby,White Spot,3.9,"5550 Kingsway, Burnaby V5H 2G2",+16044346668,61,58,25.0,Canadian,,,,,,,
Central Burnaby,Chettinad Dosa Palace,3.6,"5081 Canada Way, Burnaby V5E 3N1",+16045441561,58,27,22.5,Indian,,,,,,,
Central Burnaby,Ipoh Bean Sprout Chicken,3.3,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16044429208,49,37,10.0,Fast Food,Chinese,Malaysian,Asian,,,,
Central Burnaby,Viva Sue Pizza,4.1,"5115 Canada Way, Burnaby V5E 3N1",+16045225200,50,4,12.5,Pizza,,,,,,,
Central Burnaby,Pasta Amore Pizzeria Ristorante,3.6,"4502 Dawson Street, Burnaby V5C 4C1",+16042983135,40,26,20.0,Italian,Pizza,,,,,,
Central Burnaby,Cafe Eggstatic,3.1,"Crystal Mall, 1021 - 4500 Kingsway, Burnaby V5H 4V2",+16046167623,33,45,7.5,Bubble Tea,Cafe,,,,,,
Central Burnaby,Denny's,2.7,"5605 Kingsway, Burnaby V5H 4W7",+16044349016,53,71,20.0,American,,,,,,,
Central Burnaby,Chachi's Metrotown,3.2,"4820 Kingsway, Burnaby",+16045662447,28,72,12.5,Sandwich,,,,,,,
Central Burnaby,Jinya Ramen Bar,3.2,"4575 Central Blvd, Burnaby, BC V5H 4J5, Burnaby, British Columbia, Burnaby",+16042292477,47,45,,Japanese,,,,,,,
Central Burnaby,Yunnan Cross Bridge Rice Noodle Hut,3.4,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H2B1",+17788963889,36,35,10.0,Fast Food,Chinese,Asian,,,,,
Central Burnaby,Sunshine Cafe,3.3,"Crystal Mall, 1003-4500 Kingsway, Burnaby V5H",+16044386537,37,35,12.5,Chinese,Taiwanese,,,,,,
Central Burnaby,Pho Boi,3.1,"5505 Kingsway, Burnaby V5H 2G1",+16044360001,44,30,10.0,Vietnamese,Asian,,,,,,
Central Burnaby,Deer Lake Wonton Restaurant,3.0,"5107 Canada Way, Burnaby V5E 3N1",+16045229651,32,24,15.0,Chinese,Asian,,,,,,
Central Burnaby,Great Bear Pub,3.6,"5665 Kingsway, Burnaby V5H 3T2",+16044332388,38,16,30.0,Bar Food,,,,,,,
Central Burnaby,Delicious BBQ,2.7,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16044338261,41,20,10.0,Fast Food,Chinese,BBQ,Asian,,,,
Central Burnaby,Huaxi Noodle Specialist,3.7,"Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16044388620,33,22,10.0,Fast Food,Chinese,Asian,,,,,
Central Burnaby,Jo Ju Tofu Hot Pot,2.9,"4544 Hastings Street, Burnaby V5C 2K4",+16042970371,26,41,12.5,Taiwanese,,,,,,,
Central Burnaby,Green Leaf Cafe,3.8,"9604 Cameron Street, Burnaby, British Columbia, Metro Vancouver, Burnaby",+16044449802,11,45,20.0,Asian Fusion,Japanese,Sushi,,,,,
Central Burnaby,Fung May Chinese Cuisine,3.2,"Crystal Mall, Food Court, 2301-4500 Kingsway, Burnaby V5H 2B1",+16044336520,31,23,10.0,Fast Food,Chinese,Asian,,,,,
Central Burnaby,Kingspark Good Food,3.4,"Crystal Mall, Food Court, 2125-4500 Kingsway, Burnaby V5H 2B1",+16044383348,33,20,10.0,Fast Food,Chinese,Asian,,,,,
